k,aic,bic,fold,held_out_individual
1,15602.922247912991,15706.628157203364,1,1
2,15520.081644414242,15731.197245469646,1,1
3,15449.796873524985,15768.322166345419,1,1
4,15437.105582071857,15863.04056665732,1,1
5,15418.62340437999,15951.968080730483,1,1
6,15422.314395131314,16063.068763246836,1,1
7,15410.075129594301,16158.239189474854,1,1
8,15433.229276747556,16288.803028393138,1,1
1,15623.233120679864,15726.939029970237,2,2
2,15486.316306282986,15697.43190733839,2,2
3,15468.405927056803,15786.931219877237,2,2
4,15453.340846283576,15879.275830869039,2,2
5,15434.95294891322,15968.297625263713,2,2
6,15442.94577114427,16083.700139259792,2,2
7,15430.023907146362,16178.187967026915,2,2
8,15458.987214974612,16314.560966620194,2,2
1,15603.244189276646,15706.950098567018,3,3
2,15467.07862632784,15678.194227383245,3,3
3,15437.48683432171,15756.012127142143,3,3
4,15413.509145217717,15839.44412980318,3,3
5,15412.252043753111,15945.596720103604,3,3
6,15387.986809479042,16028.741177594564,3,3
7,15386.856291013426,16135.020350893978,3,3
8,15400.853498305472,16256.427249951055,3,3
1,15617.546340637015,15721.252249927387,4,4
2,15500.28913329036,15711.404734345764,4,4
3,15487.011433044756,15805.53672586519,4,4
4,15478.459722122963,15904.394706708426,4,4
5,15453.688618985767,15987.03329533626,4,4
6,15440.852562695161,16081.606930810683,4,4
7,15442.133571946875,16190.297631827427,4,4
8,15437.261018252124,16292.834769897707,4,4
1,15605.137858815626,15708.843768105999,5,5
2,15452.422425643475,15663.53802669888,5,5
3,15423.056328453562,15741.581621273996,5,5
4,15400.87679033797,15826.811774923433,5,5
5,15400.838638077099,15934.183314427592,5,5
6,15389.675715329213,16030.430083444735,5,5
7,15370.155850684056,16118.319910564609,5,5
8,15381.621845517311,16237.195597162894,5,5
1,15632.883707637864,15736.589616928237,6,6
2,15501.761402560047,15712.877003615451,6,6
3,15481.716477856173,15800.241770676606,6,6
4,15307.065302941242,15733.000287526706,6,6
5,15459.739293770432,15993.083970120924,6,6
6,15453.21648701457,16093.970855130092,6,6
7,15448.21955275442,16196.383612634974,6,6
8,15294.395984824572,16149.969736470155,6,6
1,15615.162246254145,15718.868155544518,7,7
2,15473.981644827212,15685.097245882616,7,7
3,15457.53983331483,15776.065126135263,7,7
4,15441.7912573219,15867.726241907363,7,7
5,15427.923717296693,15961.268393647186,7,7
6,15426.634223957495,16067.388592073017,7,7
7,15410.254345028687,16158.41840490924,7,7
8,15398.342412725662,16253.916164371245,7,7
1,15605.85319466225,15709.559103952623,8,8
2,15461.883884555597,15672.999485611,8,8
3,15446.996840123167,15765.5221329436,8,8
4,15425.343147896889,15851.278132482352,8,8
5,15418.671211295143,15952.015887645635,8,8
6,15399.090419084587,16039.844787200109,8,8
7,15410.871691881563,16159.035751762116,8,8
8,15226.453752098736,16082.027503744319,8,8
1,15575.702805265466,15679.408714555839,9,9
2,15450.69283627244,15661.808437327843,9,9
3,15442.32609657614,15760.851389396574,9,9
4,15427.175136021,15853.110120606463,9,9
5,15419.024783164838,15952.36945951533,9,9
6,15411.886896882635,16052.641264998158,9,9
7,15394.08695855673,16142.251018437284,9,9
8,15415.610538713372,16271.184290358955,9,9
1,15614.368533621764,15718.074442912137,10,10
2,15468.398144033865,15679.513745089269,10,10
3,15438.173553370878,15756.698846191312,10,10
4,15416.159824117858,15842.094808703321,10,10
5,15400.653709370634,15933.998385721126,10,10
6,15396.129757298171,16036.884125413693,10,10
7,15398.795038038246,16146.9590979188,10,10
8,15393.42622990996,16248.999981555542,10,10
1,15615.287666408563,15718.993575698936,11,11
2,15457.384752011283,15668.500353066687,11,11
3,15433.699271320253,15752.224564140686,11,11
4,15422.1245867256,15848.059571311063,11,11
5,15413.965195104813,15947.309871455305,11,11
6,15389.027173702198,16029.78154181772,11,11
7,15390.602902026789,16138.766961907342,11,11
8,15360.410948273395,16215.984699918978,11,11
1,15610.126500674709,15713.832409965082,12,12
2,15473.399323754424,15684.514924809828,12,12
3,15452.298295337645,15770.823588158079,12,12
4,15432.672747502194,15858.607732087657,12,12
5,15427.61073453901,15960.955410889503,12,12
6,15411.225905408945,16051.980273524467,12,12
7,15411.944207735174,16160.108267615728,12,12
8,15412.150193568832,16267.723945214415,12,12
1,15608.035452525988,15711.741361816361,13,13
2,15478.534342466523,15689.649943521927,13,13
3,15459.516614995482,15778.041907815916,13,13
4,15441.312212354787,15867.24719694025,13,13
5,15445.287755565576,15978.632431916069,13,13
6,15441.658448341894,16082.412816457416,13,13
7,15333.996575581368,16082.160635461922,13,13
8,15427.851691846283,16283.425443491866,13,13
1,15604.01545170311,15707.721360993482,14,14
2,15473.189587502835,15684.305188558239,14,14
3,15457.472779401289,15775.998072221722,14,14
4,15412.140753001919,15838.075737587382,14,14
5,15413.773897288534,15947.118573639027,14,14
6,15419.092055366304,16059.846423481826,14,14
7,15381.950260801976,16130.114320682529,14,14
8,15401.808054139925,16257.381805785508,14,14
1,15615.609984263756,15719.315893554129,15,15
2,15473.838804614992,15684.954405670396,15,15
3,15442.923407254646,15761.44870007508,15,15
4,15441.425031894978,15867.360016480441,15,15
5,15419.84190242704,15953.186578777533,15,15
6,15397.802140291898,16038.55650840742,15,15
7,15383.963432077766,16132.12749195832,15,15
8,15417.342774646,16272.916526291583,15,15
1,15617.61584353454,15721.321752824913,16,16
2,15478.727462222625,15689.84306327803,16,16
3,15455.927530933835,15774.452823754269,16,16
4,15439.496886501467,15865.43187108693,16,16
5,15425.27764842993,15958.622324780423,16,16
6,15434.375961143298,16075.13032925882,16,16
7,15403.458355014374,16151.622414894926,16,16
8,15416.060912948673,16271.634664594256,16,16
1,15601.814593425323,15705.520502715695,17,17
2,15458.841452300294,15669.957053355698,17,17
3,15440.921573602429,15759.446866422863,17,17
4,15430.404964047497,15856.33994863296,17,17
5,15423.674286029502,15957.018962379994,17,17
6,15414.790466205628,16055.54483432115,17,17
7,15399.897054025343,16148.061113905896,17,17
8,15257.185611197285,16112.759362842868,17,17
1,15614.063913568636,15717.769822859009,18,18
2,15478.462833350937,15689.578434406341,18,18
3,15461.582871128778,15780.108163949211,18,18
4,15457.600566148074,15883.535550733537,18,18
5,15433.148293568356,15966.492969918849,18,18
6,15407.494839104642,16048.249207220164,18,18
7,15393.409101095067,16141.573160975619,18,18
8,15410.722841933828,16266.296593579411,18,18
1,15603.554586777504,15707.260496067876,19,19
2,15461.979386778294,15673.094987833698,19,19
3,15433.636749606554,15752.162042426988,19,19
4,15401.949120743759,15827.884105329222,19,19
5,15389.49529649568,15922.839972846172,19,19
6,15348.21254483832,15988.966912953842,19,19
7,15346.17988180332,16094.343941683874,19,19
8,15360.12862125217,16215.702372897753,19,19
1,15600.826343361345,15704.532252651717,20,20
2,15458.221151228001,15669.336752283405,20,20
3,15441.400514421342,15759.925807241776,20,20
4,15413.345954921251,15839.280939506714,20,20
5,15421.155849294095,15954.500525644587,20,20
6,15383.625155858095,16024.379523973617,20,20
7,15231.416488942286,15979.58054882284,20,20
8,15398.44071432477,16254.014465970353,20,20
1,15606.95757801679,15710.663487307163,21,21
2,15479.499385011422,15690.614986066827,21,21
3,15463.152391914125,15781.677684734559,21,21
4,15443.693851429833,15869.628836015296,21,21
5,15429.49216519061,15962.836841541102,21,21
6,15402.622806394971,16043.377174510493,21,21
7,15396.740267310786,16144.90432719134,21,21
8,15425.409061079657,16280.98281272524,21,21
1,15603.561751019537,15707.26766030991,22,22
2,15465.732755294279,15676.848356349683,22,22
3,15434.41491671684,15752.940209537273,22,22
4,15264.791656667507,15690.72664125297,22,22
5,15416.039061394291,15949.383737744784,22,22
6,15410.55190403483,16051.306272150352,22,22
7,15423.249782398525,16171.413842279078,22,22
8,15419.139584227814,16274.713335873397,22,22
1,15591.350555426547,15695.05646471692,23,23
2,15463.735624344023,15674.851225399427,23,23
3,15448.659793808736,15767.18508662917,23,23
4,15395.242946220988,15821.17793080645,23,23
5,15407.379560642235,15940.724236992728,23,23
6,15386.454844254626,16027.209212370148,23,23
7,15344.974138956877,16093.13819883743,23,23
8,15360.02828266726,16215.602034312842,23,23
1,15604.631643447245,15708.337552737617,24,24
2,15472.197464624143,15683.313065679547,24,24
3,15443.05183424628,15761.577127066714,24,24
4,15273.091444948937,15699.0264295344,24,24
5,15424.31192884731,15957.656605197802,24,24
6,15426.20039005044,16066.954758165963,24,24
7,15420.48263435875,16168.646694239302,24,24
8,15426.89256899526,16282.466320640842,24,24
1,15596.38409270382,15700.090001994193,25,25
2,15449.720326252474,15660.835927307879,25,25
3,15422.91690656593,15741.442199386363,25,25
4,15253.638651356832,15679.573635942295,25,25
5,15383.070238491327,15916.41491484182,25,25
6,15379.262109835583,16020.016477951105,25,25
7,15356.287442832396,16104.45150271295,25,25
8,15380.0758148455,16235.649566491084,25,25
1,15615.836106667006,15719.542015957379,26,26
2,15520.17850601611,15731.294107071513,26,26
3,15424.658057476343,15743.183350296777,26,26
4,15253.048209755832,15678.983194341296,26,26
5,15409.791096404071,15943.135772754564,26,26
6,15399.003527614257,16039.75789572978,26,26
7,15380.201269447878,16128.36532932843,26,26
8,15389.630018868058,16245.20377051364,26,26
